run,split,field,label,support,predicted_positive,true_positive,false_positive,false_negative,true_negative,precision,recall,f1
phase3_full_v1,val,entrance,Entrance Type: Porch - Partial Width - Recessed,425,1266,325,941,100,2539,0.256714,0.764706,0.384388
phase3_full_v1,val,entrance,Entrance Type: Stoop - High,452,1215,281,934,171,2519,0.231276,0.621681,0.337133
phase3_full_v1,val,entrance,Entrance Type: Other Entrance Type,118,235,19,216,99,3571,0.080851,0.161017,0.107649
phase3_full_v1,val,entrance,Entrance Type: Unknown - Not Visible,99,74,5,69,94,3737,0.067568,0.050505,0.057803
phase3_full_v1,val,entrance,Entrance Type: Storefront,101,160,84,76,17,3728,0.525,0.831683,0.643678
phase3_full_v1,val,entrance,Entrance Type: Vehicular Entrance,56,100,36,64,20,3785,0.36,0.642857,0.461538
phase3_full_v1,val,associated_buildings,Building/Object Type: Garage - Detached,1833,2256,1327,929,506,1143,0.588209,0.72395,0.649058
phase3_full_v1,val,associated_buildings,Building/Object Type: Shed or Storage Building,419,1420,200,1220,219,2266,0.140845,0.477327,0.21751
phase3_full_v1,val,associated_buildings,Building/Object Type: Garage – Attached,268,1126,178,948,90,2689,0.158082,0.664179,0.25538
phase3_full_v1,val,associated_buildings,Building/Object Type: Carport - Attached,95,30,5,25,90,3785,0.166667,0.052632,0.08
phase3_full_v1,val,associated_buildings,Building/Object Type: Accessory Dwelling Unit (ADU),86,13,0,13,86,3806,0.0,0.0,0.0
phase3_full_v1,val,associated_buildings,Building/Object Type: Other Associated Building or Object,110,13,3,10,107,3785,0.230769,0.027273,0.04878
phase3_full_v1,val,roof_materials,Shingles - Asphalt,3465,3292,3240,52,225,388,0.984204,0.935065,0.959005
phase3_full_v1,val,roof_materials,Unknown Roof Material,399,520,357,163,42,3343,0.686538,0.894737,0.776931
phase3_full_v1,val,roof_materials,Terra Cotta Tile,8,125,3,122,5,3775,0.024,0.375,0.045113
phase3_full_v1,val,roof_materials,Metal,29,58,12,46,17,3830,0.206897,0.413793,0.275862
phase3_full_v1,val,roof_materials,Shingles - Concrete,14,5,0,5,14,3886,0.0,0.0,0.0
phase3_full_v1,val,roof_materials,Rare Roof Material,13,15,0,15,13,3877,0.0,0.0,0.0
phase3_v2_visual_retention,val,wall_features,Foundation - Not Visible,1442,1985,1088,897,354,1566,0.548111,0.754508,0.634958
phase3_v2_visual_retention,val,wall_features,Foundation - Concrete,1176,1474,851,623,325,2106,0.577341,0.723639,0.642264
phase3_v2_visual_retention,val,wall_features,Brick - Patterned,1165,1590,821,769,344,1971,0.516352,0.704721,0.596007
phase3_v2_visual_retention,val,wall_features,Belt Course,995,1628,768,860,227,2050,0.471744,0.771859,0.585589
phase3_v2_visual_retention,val,wall_features,Brick - Polychromatic,1007,1544,806,738,201,2160,0.522021,0.800397,0.631909
phase3_v2_visual_retention,val,wall_features,Gable Vents,795,1646,635,1011,160,2099,0.385784,0.798742,0.520279
